subject;model;sL;sC;sR;noise_amp;S_amplitude;S_d;U_int_amplitude;U_int_baseline;U_int_onset;U_ext_amplitude;nll;n_trials;nll/trial;nll_eval
A86;temporalU;0.3133357037004316;0.4468955233896849;0.422735048825416;1.0876900655335895;0.2020374617460766;0.1978608035424258;1.865244706947124;-1.236308139639732;0.0001165721890574;-0.033492373113404;5609.8794945631535;7497.0;0.7482832459067832;111578.5500981762
A95;temporalU;0.4415661977814125;0.4947356600273451;0.473939884088395;0.6957910974447982;0.1230973908242413;0.9867015011974218;1.9518713184315857;-0.9976905353137226;0.2636853119705565;-0.0926967635305118;3784.398450758176;4956.0;0.7635993645597607;27064.741107171583
A92;temporalU;0.4708087854228893;0.515426180853467;0.554879834670885;0.837818506280247;0.1405304208473353;0.309033338612619;1.8359046443870284;-1.201377929755722;0.0531683065966185;-0.0443048719873786;6060.541981862181;7497.0;0.8083956224972898;166018.60664734396
A84;temporalU;0.402547968570115;0.3518405258702515;0.4246013457819337;0.7589669363237991;0.1501001953705662;0.5542895512341176;0.863990437041906;-0.6574707656640015;0.3644253742469217;-0.0685109864214723;416.0268767638706;651.0;0.639058182432981;2765.866810171441
A83;temporalU;0.5084301363676786;0.4941581804305315;0.4984853686764836;0.7102251404159637;0.11498857781291;0.6433206796646118;0.6903800070285797;-0.7966788411140442;0.08917330532521;0.0014102309942245;5530.43904442513;7489.0;0.7384749692115277;81229.68240699425
A93;temporalU;0.4429699061438441;0.4973410880193114;0.4774170806631446;0.5030030053004276;0.0893312089890241;0.3123742073774337;1.3860279694199562;-1.272344520315528;7.450579042611594e-11;0.297397144138813;4433.37629327503;5981.0;0.7412433193905751;54605.25830467081
A89;temporalU;0.5192792381338904;0.5197410463339338;0.5376772081168326;0.4380787362991986;0.0745382534025054;0.5238346519871868;0.8785494087381949;-1.013500750125644;0.3199455559340498;0.2813681620627335;5672.4986200000985;7497.0;0.7566358036548084;116752.12218601612
A87;temporalU;0.5465279109130279;0.598203240580915;0.5815044049641074;0.6421536732004872;0.1241335007308953;0.3032505088833204;1.0817299571208423;-0.9393093295257132;0.0583345229197693;-0.0912805261395988;5543.586787290751;7497.0;0.7394406812445979;119275.36721491234
A87;spatial_reduced_cert;-0.5601336581166834;-0.4574177151080221;-0.5804033204913139;;0.2352654835022986;9.313222415485711e-11;2.4676443245261908;;;;7334.26718867829;9996.0;0.7337202069506092;16814.6322195369
A84;spatial_reduced_cert;-0.1024360263954236;-0.1836540724292046;-0.1049283713804261;;0.829663125549775;1.5148790555308267e-09;1.1398354409435;;;;437.7847016551437;651.0;0.6724803404840916;436.62852484670174
A96;spatial_reduced_cert;-0.9999740873844658;-0.825870680935676;-0.9999999999999964;;0.2152385038829092;0.7893737745711775;2.120518245876326;;;;4814.423414714217;6884.0;0.6993642380468067;6898.738696573933
A95;spatial_reduced_cert;-0.4042734288809697;-0.3301341355299882;-0.4069489055530084;;0.1791944002154014;0.998948376042381;1.5032284710687236;;;;3927.3534533476063;5220.0;0.7523665619439859;3931.671045681711
A83;spatial_reduced_cert;-0.610193886095658;-0.6118749375455081;-0.6943384422920644;;0.1831113659963011;0.9028615147806704;1.870063032954932;;;;6972.095911983057;9451.0;0.7377098626582432;12752.458034708952
A92;spatial_reduced_cert;0.0714360708952881;0.1351685893605463;0.1485958726261742;;0.1744379089074209;1.4028046224634494e-08;1.4729763763025403;;;;8026.934129582301;9996.0;0.8030146188057523;25271.42224946162
A96;spatial_reduced_cert;-0.5707027237513103;-0.3827106098178774;-0.5370365950511768;;0.2208420977229252;0.4618519306532107;1.7656901888549328;;;;4832.308905879587;6884.0;0.7019623628529325;6905.39543508303
